Content,Label
ribet banget anjing,1
tujuan menyiarkan publik isi sidang pengalaman seksual anak umur hukum diangg,4
terserah gua anjing,1
setan iblis belenggu manusia model bedebah iblis mengatasnamakan < I-PER/>agama,2
medan deva < I-LOC/>nusantara christing,4
berita putusan pemidanaan anak ditemukan kr< I-PER/>onologi anak berhubungan seksual orang dewasa hakim jadiin,4
marm kadal gurun nego bin bodoh post berita baca nek beritanya < I-PER/>loe klonjotan < I-LOC/>boto,2
nahkan bodoh emang,1
kadal gurun galak hrs pakai jaket peluru,2
diklarifikasi kadal gurun otak isi taik berbuih klarifikasi biarkan bg den kadal gurun halu foto jantungan,2
doctor tu ceramah < I-PER/>agama,4
rakuat geeess uwes taaaa bodoh ku ra mari mari geess,3
mabuk < I-PER/>agama twitt pakai akal sehat saya kasih allah butuh disembah tapi manusia butuh menyembah,2
ceramah diskusi < I-PER/>agama tingkatkan iman taqwa wbp rutan < I-LOC/>pasangkayu,4
udah segender beda < I-PER/>agama miris sekali,4
kesabaran ku setipis tisu dib< I-PER/>agi could never be socmed admin kek anjing bentukan orangtua beda beda ku balas nnti viral ku balas geram,1
< I-PER/>arbana < I-PER/>kristi < I-PER/>kristi ca kishe thene ti vajzat < I-PER/>jane objekt seksual < I-PER/>kristi jo sthashe < I-PER/>jane vetem objekt seksual po < I-PER/>jane objekt seksual < I-PER/>arbana < I-PER/>kristi aaa ne rregull tna falesh shume qe te shqetesuam,4
iya bang emang bego proyek begooo benar bodoh begitu,1
ayo ayooo,4
ayo rituit suruh temen kamu nonton tiser kite,4
momen < I-PER/>ganjar < I-PER/>pranowo shalat bareng presiden < I-PER/>jokowi masjid < I-PER/>sheikh al zayed mengecek harga bahan pokok,4
kakak ku korban pelecehan karena samasekali sex edu pelecehan dilakuin adek orangtua kakakku cerita pas udah < I-PER/>lulus sama p< I-ORG/>repare married kejadian pelecehannya pas sekitaran,1
buzzer team hore serentak twit dapat bahan ngejatuhin < I-PER/>anies,3
kelakuan kadal gurun,2
ayo join grup premium terbaik promo menarik info lengkap klik link,4
< I-PER/>ganjar < I-PER/>pranowo riskan menyerahkan < I-LOC/>indonesia bari,4
counter kang demo yudo < I-PER/>kentung rendy < I-PER/>pangalila,4
kadal gurun < I-PER/>eneng vc < I-PER/>eneng terima jodoh neng,4
sudah upload gambar video serentak eh wow < I-LOC/>cuba try test demo urut intimate client adam sorang ni,3
licik anjing kedonyan begitu banget,1
ayo jepangg,4
capek bangett anjing,1
meneh bupati piye iki oyak en kontraktore mbok satset koyo < I-PER/>gibran mesakke vendore masjidte wes dinggo bayarane durung rampung pekerja upahnya keringatnya keringhribnu majah shahih,3
kehidupan kek anjing,1
kadal gurun g< I-PER/>agap ya dadaku sllapal< I-PER/>agi rebahan orang bersender,4
apapun aku kesel banget anjing von richter kamu babi anjing bedebah bangsattt,1
